Date,Day,Location,Start Time,End Time,Game,Away Team,Home Team,Permit
04/03/2021,Sat,LW3,14:00,16:00,4,Greenwood Hardware,Morgan's Plumbing,09:00 AM - 05:00 PM
04/03/2021,Sat,LW4,14:00,16:00,3,Rough Riders,Ken's Market,09:00 AM - 05:00 PM
04/03/2021,Sat,LW5,11:30,13:30,3,NCLL Dynamite,NCLL SantoriniDave.com,09:00 AM - 05:00 PM
04/03/2021,Sat,LW5,14:00,16:00,4,Goodman Racing,Reuben's Brewers,09:00 AM - 05:00 PM
04/03/2021,Sat,LW6,11:30,13:30,3,NWLL Spicy Hens,NCLL/QALL Reignmakers,09:00 AM - 05:00 PM
04/03/2021,Sat,LW6,14:00,16:00,5,TNT Taqueria,Seattle Stained Glass,09:00 AM - 05:00 PM
04/03/2021,Sat,West Queen Anne Playfield #2,14:00,16:00,5,NCLL Harjo Construction,QALL Phoenix,
04/06/2021,Tue,LW3,18:30,20:30,12,NCLL Dynamite,NCLL Harjo Construction,05:30 PM - 08:00 PM
04/06/2021,Tue,LW6,18:30,20:30,21,Reuben's Brewers,Rough Riders,06:00 PM - 08:30 PM
04/06/2021,Tue,Lawton Park,17:00,19:15,7,NCLL SantoriniDave.com,MLL Phoenix,
04/07/2021,Wed,Dahl Playfield #3,17:30,20:00,5,NCLL/QALL Reignmakers,NESLL/RUGLL Aces,
04/08/2021,Thu,LW6,18:30,20:30,12,Ken's Market,Reuben's Brewers,06:00 PM - 08:30 PM
04/08/2021,Thu,Maple Leaf 2,20:00,18:00,9,Rough Riders,Hornets,
04/10/2021,Sat,Interbay Athletic Complex 2,14:00,16:00,19,Morgan's Plumbing,AAA Fire Protection,
04/10/2021,Sat,LW4,14:00,16:00,15,TNT Taqueria,Greenwood Hardware,09:00 AM - 05:00 PM
04/10/2021,Sat,Maple Leaf 2,14:00,16:00,21,Seattle Stained Glass,Panthers,
04/12/2021,Mon,LW3,18:00,20:30,13,NCLL/QALL Reignmakers,SLL Strikers,05:30 PM - 09:00 PM
04/13/2021,Tue,LW6,18:30,20:30,15,MLL Panthers,NCLL SantoriniDave.com,06:00 PM - 09:00 PM
04/14/2021,Wed,West Queen Anne Playfield #2,18:00,20:30,11,MLL Criminals,NCLL/QALL Reignmakers,
04/15/2021,Thu,LW6,18:30,20:30,18,BLL Devils,NCLL Dynamite,06:00 PM - 09:00 PM
04/15/2021,Thu,Magnoliia Playfield #2,17:30,19:45,16,NCLL Harjo Construction,MLL Phoenix,
04/17/2021,Sat,LW4,14:00,16:00,26,Seattle Stained Glass,Morgan's Plumbing,09:00 AM - 05:00 PM
04/17/2021,Sat,LW6,14:00,16:00,27,NW1,TNT Taqueria,09:00 AM - 05:00 PM
04/17/2021,Sat,Maple Leaf 2,14:00,16:00,31,Greenwood Hardware,Reds,
04/20/2021,Tue,Gilman Playfield #2,17:45,20:00,20,NCLL SantoriniDave.com,BLL Blazing Tigers,
04/20/2021,Tue,LW5,18:30,20:30,29,Ken's Market,Rough Riders,06:00 PM - 09:00 PM
04/20/2021,Tue,LW6,18:30,20:30,23,QALL Phoenix,NCLL Dynamite,06:00 PM - 09:00 PM
04/20/2021,Tue,Shorewood H.S. ,19:00,21:00,33,Reuben's Brewers,Shore2,
04/21/2021,Wed,LW3,18:00,20:00,37,Panthers,Morgan's Plumbing,06:00 PM - 08:30 PM
04/21/2021,Wed,LW5,18:00,20:00,38,Greenwood Hardware,Seattle Stained Glass,06:00 PM - 08:00 PM
04/21/2021,Wed,Soundview 3,18:00,20:00,39,TNT Taqueria,NW2,
04/21/2021,Wed,West Queen Anne Playfield #2,18:00,20:30,18,BLL Blue Thunder,NCLL/QALL Reignmakers,
04/22/2021,Thu,LW5,18:30,20:30,37,Hornets,Reuben's Brewers,06:00 PM - 09:00 PM
04/22/2021,Thu,LW6,18:30,20:30,24,MLL Panthers,NCLL Harjo Construction,06:00 PM - 09:00 PM
04/22/2021,Thu,Soundview Field 3,18:00,20:00,38,Ken's Market,NW1,
04/24/2021,Sat,Ballard Community Center #1,15:45,17:30,8,NCLL Purple,BLL Phoenix,
04/24/2021,Sat,LW3,11:30,13:30,4,NCLL Cube Smart Cats,NCLL Cheeto Sloths,09:00 AM - 05:00 PM
04/24/2021,Sat,LW3,14:00,16:00,48,Morgan's Plumbing,TNT Taqueria,09:00 AM - 05:00 PM
04/24/2021,Sat,LW4,11:30,13:30,5,NWLL Ballard Pediatric Denistry,NCLL Lightning Dogs,09:00 AM - 05:00 PM
04/24/2021,Sat,LW4,14:00,16:00,43,Ballard Plumbing,Rough Riders,09:00 AM - 05:00 PM
