Date,Day,Permit,Field
Mar 1,Wed,05:45 PM - 08:30 PM,lw3
Mar 1,Wed,05:45 PM - 08:30 PM,lw4
Mar 1,Wed,05:45 PM - 08:30 PM,lw5
Mar 1,Wed,05:45 PM - 08:30 PM,lw6
Mar 2,Thu,05:45 PM - 08:30 PM,lw3
Mar 2,Thu,05:45 PM - 08:30 PM,lw4
Mar 2,Thu,05:45 PM - 08:30 PM,lw5
Mar 2,Thu,05:45 PM - 08:30 PM,lw6
Mar 3,Fri,05:45 PM - 08:00 PM,lw3
Mar 4,Sat,10:00 AM - 04:00 PM,lw3
Mar 4,Sat,10:00 AM - 04:00 PM,lw4
Mar 4,Sat,10:00 AM - 04:00 PM,lw5
Mar 4,Sat,10:00 AM - 04:00 PM,lw6
Mar 6,Mon,05:45 PM - 08:30 PM,lw3
Mar 6,Mon,05:45 PM - 08:30 PM,lw4
Mar 6,Mon,05:45 PM - 08:30 PM,lw5
Mar 6,Mon,05:45 PM - 08:30 PM,lw6
Mar 7,Tue,05:45 PM - 08:30 PM,lw3
Mar 7,Tue,05:45 PM - 08:30 PM,lw4
Mar 7,Tue,05:45 PM - 08:30 PM,lw5
Mar 7,Tue,05:45 PM - 08:30 PM,lw6
Mar 8,Wed,05:45 PM - 08:30 PM,lw3
Mar 8,Wed,05:45 PM - 08:30 PM,lw4
Mar 8,Wed,05:45 PM - 08:30 PM,lw5
Mar 8,Wed,05:45 PM - 08:30 PM,lw6
Mar 9,Thu,05:45 PM - 08:30 PM,lw3
Mar 9,Thu,05:45 PM - 08:30 PM,lw4
Mar 9,Thu,05:45 PM - 08:30 PM,lw5
Mar 9,Thu,05:45 PM - 08:30 PM,lw6
Mar 10,Fri,05:45 PM - 08:00 PM,lw3
Mar 11,Sat,09:00 AM - 05:00 PM,lw3
Mar 11,Sat,09:00 AM - 05:00 PM,lw4
Mar 11,Sat,09:00 AM - 05:00 PM,lw5
Mar 11,Sat,09:00 AM - 05:00 PM,lw6
Mar 11,Sat,09:00 AM - 05:00 PM,ross
Mar 11,Sat,09:00 AM - 05:00 PM,university
Mar 12,Sun,02:00 PM - 04:30 PM,lw3
Mar 13,Mon,05:45 PM - 08:30 PM,lw3
Mar 13,Mon,05:45 PM - 08:30 PM,lw4
Mar 13,Mon,05:45 PM - 08:30 PM,lw5
Mar 13,Mon,05:45 PM - 08:30 PM,lw6
Mar 13,Mon,05:00 PM - 07:00 PM,ross
Mar 13,Mon,05:00 PM - 07:00 PM,university
Mar 14,Tue,05:45 PM - 08:30 PM,lw3
Mar 14,Tue,05:45 PM - 08:30 PM,lw4
Mar 14,Tue,05:45 PM - 08:30 PM,lw5
Mar 14,Tue,05:45 PM - 08:30 PM,lw6
Mar 14,Tue,06:00 PM - 07:00 PM,ross
Mar 14,Tue,05:00 PM - 07:00 PM,university
Mar 15,Wed,05:45 PM - 08:30 PM,lw3
Mar 15,Wed,05:45 PM - 08:30 PM,lw4
Mar 15,Wed,05:45 PM - 08:30 PM,lw5
Mar 15,Wed,05:45 PM - 08:30 PM,lw6
Mar 15,Wed,05:00 PM - 07:30 PM,ross
Mar 16,Thu,05:45 PM - 08:30 PM,lw3
Mar 16,Thu,05:45 PM - 08:15 PM,lw4
Mar 16,Thu,05:45 PM - 08:30 PM,lw5
Mar 16,Thu,05:45 PM - 08:30 PM,lw6
Mar 16,Thu,06:00 PM - 07:00 PM,ross
Mar 16,Thu,05:00 PM - 07:00 PM,university
Mar 17,Fri,05:45 PM - 08:00 PM,lw3
Mar 17,Fri,05:45 PM - 08:00 PM,lw4
Mar 17,Fri,05:45 PM - 08:00 PM,lw5
Mar 17,Fri,05:45 PM - 08:00 PM,lw6
Mar 17,Fri,05:00 PM - 07:00 PM,ross
Mar 17,Fri,05:00 PM - 07:00 PM,university
Mar 18,Sat,09:00 AM - 05:00 PM,lw3
Mar 18,Sat,09:00 AM - 05:00 PM,lw4
Mar 18,Sat,09:00 AM - 05:00 PM,lw5
Mar 18,Sat,09:00 AM - 05:00 PM,lw6
Mar 18,Sat,09:00 AM - 05:00 PM,ross
Mar 18,Sat,09:00 AM - 05:00 PM,university
Mar 19,Sun,09:00 AM - 05:00 PM,ross
Mar 20,Mon,05:45 PM - 08:30 PM,lw3
Mar 20,Mon,05:45 PM - 08:30 PM,lw4
Mar 20,Mon,05:45 PM - 08:30 PM,lw5
Mar 20,Mon,05:45 PM - 08:30 PM,lw6
Mar 20,Mon,05:00 PM - 07:00 PM,ross
Mar 20,Mon,05:00 PM - 07:00 PM,university
Mar 21,Tue,05:45 PM - 08:30 PM,lw3
Mar 21,Tue,05:45 PM - 08:30 PM,lw4
Mar 21,Tue,05:45 PM - 08:30 PM,lw5
Mar 21,Tue,05:45 PM - 08:30 PM,lw6
Mar 21,Tue,05:00 PM - 07:00 PM,ross
Mar 21,Tue,05:00 PM - 07:00 PM,university
Mar 22,Wed,05:45 PM - 08:30 PM,lw3
Mar 22,Wed,05:45 PM - 08:30 PM,lw4
Mar 22,Wed,05:45 PM - 08:30 PM,lw5
Mar 22,Wed,05:45 PM - 08:30 PM,lw6
Mar 22,Wed,05:00 PM - 07:30 PM,ross
Mar 22,Wed,05:00 PM - 07:00 PM,university
Mar 23,Thu,05:45 PM - 08:30 PM,lw3
Mar 23,Thu,05:45 PM - 08:30 PM,lw4
Mar 23,Thu,05:45 PM - 08:30 PM,lw5
Mar 23,Thu,05:45 PM - 08:30 PM,lw6
Mar 23,Thu,05:00 PM - 07:00 PM,ross
Mar 23,Thu,05:00 PM - 07:00 PM,university
Mar 24,Fri,05:45 PM - 08:00 PM,lw3
Mar 24,Fri,05:45 PM - 08:00 PM,lw4
Mar 24,Fri,05:45 PM - 08:00 PM,lw5
Mar 24,Fri,05:45 PM - 08:00 PM,lw6
Mar 24,Fri,05:00 PM - 07:00 PM,ross
Mar 24,Fri,05:00 PM - 07:00 PM,university
Mar 25,Sat,09:00 AM - 05:00 PM,lw3
Mar 25,Sat,09:00 AM - 05:00 PM,lw4
Mar 25,Sat,09:00 AM - 05:00 PM,lw5
Mar 25,Sat,09:00 AM - 05:00 PM,lw6
Mar 25,Sat,09:00 AM - 05:00 PM,ross
Mar 25,Sat,09:00 AM - 05:00 PM,university
Mar 26,Sun,09:00 AM - 05:00 PM,ross
Mar 27,Mon,05:45 PM - 08:30 PM,lw3
Mar 27,Mon,05:45 PM - 08:00 PM,lw4
Mar 27,Mon,05:45 PM - 08:15 PM,lw5
Mar 27,Mon,05:45 PM - 08:30 PM,lw6
Mar 27,Mon,05:00 PM - 07:00 PM,ross
Mar 27,Mon,05:00 PM - 07:00 PM,university
Mar 28,Tue,05:45 PM - 08:30 PM,lw3
Mar 28,Tue,05:45 PM - 08:00 PM,lw4
Mar 28,Tue,05:45 PM - 08:15 PM,lw5
Mar 28,Tue,05:45 PM - 08:30 PM,lw6
Mar 28,Tue,05:00 PM - 07:00 PM,ross
Mar 28,Tue,05:00 PM - 07:00 PM,university
Mar 29,Wed,05:45 PM - 08:30 PM,lw3
Mar 29,Wed,05:45 PM - 08:00 PM,lw4
Mar 29,Wed,05:45 PM - 08:15 PM,lw5
Mar 29,Wed,05:45 PM - 08:30 PM,lw6
Mar 29,Wed,05:00 PM - 07:30 PM,ross
Mar 29,Wed,05:00 PM - 07:30 PM,university
Mar 30,Thu,05:45 PM - 08:30 PM,lw3
Mar 30,Thu,05:45 PM - 08:00 PM,lw4
Mar 30,Thu,05:45 PM - 08:15 PM,lw5
Mar 30,Thu,05:45 PM - 08:30 PM,lw6
Mar 30,Thu,05:00 PM - 07:00 PM,ross
Mar 30,Thu,05:00 PM - 07:00 PM,university
Mar 31,Fri,05:45 PM - 08:00 PM,lw3
Mar 31,Fri,05:45 PM - 08:00 PM,lw4
Mar 31,Fri,05:45 PM - 08:00 PM,lw5
Mar 31,Fri,05:45 PM - 08:00 PM,lw6
Mar 31,Fri,05:00 PM - 07:00 PM,ross
Mar 31,Fri,05:00 PM - 07:00 PM,university
Apr 1,Sat,09:00 AM - 05:00 PM,lw3
Apr 1,Sat,09:00 AM - 05:00 PM,lw4
Apr 1,Sat,09:00 AM - 06:00 PM,lw5
Apr 1,Sat,09:00 AM - 06:00 PM,lw6
Apr 1,Sat,09:00 AM - 05:00 PM,ross
Apr 1,Sat,09:00 AM - 05:00 PM,university
Apr 2,Sun,09:00 AM - 05:00 PM,ross
Apr 3,Mon,05:45 PM - 08:15 PM,lw3
Apr 3,Mon,05:45 PM - 08:15 PM,lw4
Apr 3,Mon,05:45 PM - 08:15 PM,lw5
Apr 3,Mon,05:45 PM - 08:15 PM,lw6
Apr 3,Mon,05:00 PM - 07:00 PM,ross
Apr 4,Tue,05:45 PM - 08:15 PM,lw3
Apr 4,Tue,05:45 PM - 08:15 PM,lw4
Apr 4,Tue,05:45 PM - 08:15 PM,lw5
Apr 4,Tue,05:45 PM - 08:15 PM,lw6
Apr 4,Tue,05:00 PM - 07:00 PM,ross
Apr 5,Wed,05:45 PM - 08:15 PM,lw3
Apr 5,Wed,05:45 PM - 08:15 PM,lw4
Apr 5,Wed,05:45 PM - 08:15 PM,lw5
Apr 5,Wed,05:45 PM - 08:15 PM,lw6
Apr 5,Wed,05:00 PM - 07:30 PM,ross
Apr 6,Thu,05:45 PM - 08:15 PM,lw3
Apr 6,Thu,05:45 PM - 08:00 PM,lw4
Apr 6,Thu,05:45 PM - 08:15 PM,lw5
Apr 6,Thu,05:45 PM - 08:15 PM,lw6
Apr 6,Thu,05:00 PM - 07:00 PM,ross
Apr 7,Fri,05:45 PM - 08:00 PM,lw3
Apr 7,Fri,05:45 PM - 08:00 PM,lw4
Apr 7,Fri,06:00 PM - 08:00 PM,lw5
Apr 7,Fri,05:00 PM - 07:00 PM,ross
Apr 7,Fri,05:00 PM - 07:00 PM,university
Apr 8,Sat,10:00 AM - 04:00 PM,lw3
Apr 8,Sat,10:00 AM - 04:00 PM,lw4
Apr 8,Sat,10:00 AM - 04:00 PM,lw5
Apr 8,Sat,10:00 AM - 04:00 PM,lw6
Apr 10,Mon,05:45 PM - 08:30 PM,lw3
Apr 10,Mon,05:45 PM - 08:30 PM,lw4
Apr 10,Mon,05:45 PM - 08:30 PM,lw5
Apr 10,Mon,05:45 PM - 08:00 PM,lw6
Apr 11,Tue,05:45 PM - 08:30 PM,lw3
Apr 11,Tue,05:45 PM - 08:30 PM,lw4
Apr 11,Tue,05:45 PM - 08:30 PM,lw5
Apr 11,Tue,05:45 PM - 08:30 PM,lw6
Apr 11,Tue,05:00 PM - 07:00 PM,university
Apr 12,Wed,05:45 PM - 08:00 PM,lw3
Apr 12,Wed,05:45 PM - 08:30 PM,lw4
Apr 12,Wed,05:45 PM - 08:30 PM,lw5
Apr 12,Wed,05:30 PM - 08:00 PM,lw6
Apr 12,Wed,05:00 PM - 07:30 PM,university
Apr 13,Thu,05:45 PM - 08:30 PM,lw3
Apr 13,Thu,05:45 PM - 08:00 PM,lw4
Apr 13,Thu,05:45 PM - 08:15 PM,lw5
Apr 13,Thu,05:45 PM - 08:30 PM,lw6
Apr 13,Thu,05:00 PM - 07:00 PM,ross
Apr 13,Thu,05:00 PM - 07:00 PM,university
Apr 14,Fri,05:45 PM - 08:00 PM,lw3
Apr 14,Fri,05:45 PM - 08:00 PM,lw4
Apr 14,Fri,05:45 PM - 08:00 PM,lw5
Apr 14,Fri,05:45 PM - 08:00 PM,lw6
Apr 15,Sat,10:00 AM - 04:00 PM,lw3
Apr 15,Sat,10:00 AM - 04:00 PM,lw4
Apr 15,Sat,10:00 AM - 04:00 PM,lw5
Apr 15,Sat,10:00 AM - 04:00 PM,lw6
Apr 17,Mon,05:45 PM - 08:00 PM,green lake 1
Apr 17,Mon,05:45 PM - 08:30 PM,lw3
Apr 17,Mon,05:45 PM - 08:30 PM,lw4
Apr 17,Mon,05:45 PM - 08:30 PM,lw5
Apr 17,Mon,05:00 PM - 07:00 PM,ross
Apr 17,Mon,05:00 PM - 07:00 PM,university
Apr 18,Tue,05:45 PM - 08:30 PM,lw3
Apr 18,Tue,05:45 PM - 08:30 PM,lw4
Apr 18,Tue,05:45 PM - 08:30 PM,lw5
Apr 18,Tue,05:45 PM - 08:30 PM,lw6
Apr 18,Tue,05:00 PM - 07:00 PM,ross
Apr 18,Tue,05:00 PM - 07:00 PM,university
Apr 19,Wed,05:45 PM - 08:30 PM,bitter lake 1
Apr 19,Wed,05:45 PM - 08:30 PM,lw3
Apr 19,Wed,05:45 PM - 08:00 PM,lw4
Apr 19,Wed,05:45 PM - 08:15 PM,lw5
Apr 19,Wed,05:00 PM - 06:00 PM,lw6
Apr 19,Wed,05:00 PM - 07:30 PM,ross
Apr 19,Wed,05:00 PM - 07:30 PM,university
Apr 20,Thu,05:45 PM - 08:30 PM,bitter lake 2
Apr 20,Thu,05:45 PM - 08:00 PM,lw3
Apr 20,Thu,05:45 PM - 08:30 PM,lw5
Apr 20,Thu,05:45 PM - 08:30 PM,lw6
Apr 20,Thu,05:00 PM - 07:00 PM,ross
Apr 20,Thu,05:00 PM - 07:00 PM,university
Apr 21,Fri,05:45 PM - 08:00 PM,lw3
Apr 21,Fri,05:45 PM - 08:00 PM,lw4
Apr 21,Fri,05:45 PM - 08:00 PM,lw5
Apr 21,Fri,05:45 PM - 08:00 PM,lw6
Apr 21,Fri,05:00 PM - 07:00 PM,ross
Apr 21,Fri,05:00 PM - 07:00 PM,university
Apr 22,Sat,09:00 AM - 05:00 PM,lw3
Apr 22,Sat,09:00 AM - 05:00 PM,lw4
Apr 22,Sat,09:00 AM - 06:00 PM,lw5
Apr 22,Sat,09:00 AM - 06:00 PM,lw6
Apr 22,Sat,09:00 AM - 05:00 PM,ross
Apr 22,Sat,09:00 AM - 05:00 PM,university
Apr 23,Sun,02:30 PM - 08:00 PM,eagle staff 60
Apr 23,Sun,09:00 AM - 05:00 PM,ross
Apr 24,Mon,06:00 PM - 08:30 PM,bitter lake 1
Apr 24,Mon,05:45 PM - 08:00 PM,lw3
Apr 24,Mon,05:45 PM - 08:30 PM,lw4
Apr 24,Mon,05:45 PM - 08:30 PM,lw5
Apr 24,Mon,05:00 PM - 07:00 PM,ross
Apr 24,Mon,05:00 PM - 07:00 PM,university
Apr 25,Tue,05:45 PM - 08:30 PM,lw3
Apr 25,Tue,05:45 PM - 08:30 PM,lw4
Apr 25,Tue,05:45 PM - 08:30 PM,lw5
Apr 25,Tue,05:45 PM - 08:30 PM,lw6
Apr 25,Tue,05:00 PM - 07:00 PM,ross
Apr 25,Tue,05:00 PM - 07:00 PM,university
Apr 26,Wed,05:45 PM - 08:15 PM,green lake 1
Apr 26,Wed,05:45 PM - 08:00 PM,lw3
Apr 26,Wed,05:45 PM - 08:15 PM,lw4
Apr 26,Wed,05:45 PM - 08:15 PM,lw5
Apr 26,Wed,05:00 PM - 07:30 PM,ross
Apr 26,Wed,05:00 PM - 07:30 PM,university
Apr 27,Thu,05:45 PM - 08:30 PM,lw3
Apr 27,Thu,05:45 PM - 08:30 PM,lw4
Apr 27,Thu,05:45 PM - 08:30 PM,lw5
Apr 27,Thu,05:45 PM - 08:30 PM,lw6
Apr 27,Thu,05:00 PM - 07:00 PM,ross
Apr 27,Thu,05:00 PM - 07:00 PM,university
Apr 28,Fri,05:45 PM - 08:00 PM,lw3
