Date,Day,Location,Start Time,End Time,Game,Away Team,Home Team,Permit
04/03/2021,Sat,LW3,14:00,16:00,4,Greenwood Hardware,Morgan's Plumbing,
04/03/2021,Sat,LW6,14:00,16:00,5,TNT Taqueria,Seattle Stained Glass,
04/10/2021,Sat,LW4,14:00,16:00,15,TNT Taqueria,Greenwood Hardware,
04/10/2021,Sat,Interbay Athletic Complex 2,14:00,16:00,19,Morgan's Plumbing,AAA Fire Protection,
04/10/2021,Sat,Maple Leaf 2,14:00,16:00,21,Seattle Stained Glass,Panthers,
04/17/2021,Sat,LW4,14:00,16:00,26,Seattle Stained Glass,Morgan's Plumbing,
04/17/2021,Sat,LW6,14:00,16:00,27,NW1,TNT Taqueria,
04/17/2021,Sat,Maple Leaf 2,14:00,16:00,31,Greenwood Hardware,Reds,
04/21/2021,Wed,LW3,18:00,20:00,37,Panthers,Morgan's Plumbing,
04/21/2021,Wed,LW5,18:00,20:00,38,Greenwood Hardware,Seattle Stained Glass,
04/21/2021,Wed,Soundview 3,18:00,20:00,39,TNT Taqueria,NW2,
04/24/2021,Sat,LW3,14:00,16:00,48,Morgan's Plumbing,TNT Taqueria,
04/24/2021,Sat,LW6,14:00,16:00,49,NW2,Seattle Stained Glass,
04/24/2021,Sat,Maple Leaf 2,12:00,14:00,53,Greenwood Hardware,Royals,
04/28/2021,Wed,LW4,18:00,20:00,59,Seattle Stained Glass,TNT Taqueria,
04/28/2021,Wed,LW5,18:00,20:00,60,Morgan's Plumbing,Greenwood Hardware,
05/01/2021,Sat,Loyal Heights 2,09:00,11:00,67,Seattle Stained Glass,The Mailbox Ballard,
05/01/2021,Sat,LW5,14:00,16:00,71,Greenwood Hardware,TNT Taqueria,
05/01/2021,Sat,LW6,14:00,16:00,72,Yellow Jackets,Morgan's Plumbing,
05/05/2021,Wed,LW4,18:00,20:00,81,Morgan's Plumbing,Seattle Stained Glass,
05/05/2021,Wed,LW5,18:00,20:00,82,NW2,Greenwood Hardware,
05/05/2021,Wed,Maple Leaf 2,18:00,20:00,87,TNT Taqueria,Yellow Jackets,
05/08/2021,Sat,LW4,14:00,16:00,91,TNT Taqueria,Morgan's Plumbing,
05/08/2021,Sat,LW6,14:00,16:00,92,NW1,Greenwood Hardware,
05/08/2021,Sat,Queen Anne Playfield 1,14:00,16:00,96,Seattle Stained Glass,Queen Anne Books,
05/12/2021,Wed,LW4,18:00,20:00,103,Royals,TNT Taqueria,
05/12/2021,Wed,LW5,18:00,20:00,104,Seattle Stained Glass,Greenwood Hardware,
05/12/2021,Wed,Maple Leaf 1,18:00,20:00,107,Morgan's Plumbing,Reds,
05/15/2021,Sat,LW5,14:00,16:00,114,TNT Taqueria,Greenwood Hardware,
05/15/2021,Sat,LW6,14:00,16:00,115,Ray's Boathouse,Morgan's Plumbing,
05/15/2021,Sat,Soundview 4,12:00,15:00,116,Seattle Stained Glass,NW1,
05/19/2021,Wed,LW3,18:00,20:00,125,TNT Taqueria,Seattle Stained Glass,
05/19/2021,Wed,LW4,18:00,20:00,126,Panthers,Greenwood Hardware,
05/19/2021,Wed,Maple Leaf 2,18:00,20:00,131,Morgan's Plumbing,Royals,
05/22/2021,Sat,LW3,14:00,16:00,137,Seattle Stained Glass,Morgan's Plumbing,
05/22/2021,Sat,LW4,14:00,16:00,138,Panthers,TNT Taqueria,
05/22/2021,Sat,Maple Leaf 2,12:00,14:00,141,Greenwood Hardware,Yellow Jackets,
05/24/2021,Mon,LW4,18:00,20:00,147,Greenwood Hardware,Morgan's Plumbing,
05/24/2021,Mon,LW5,18:00,20:00,148,Reds,TNT Taqueria,
05/24/2021,Mon,Maple Leaf 1,18:00,20:00,152,Seattle Stained Glass,Royals,
05/26/2021,Wed,LW3,18:00,20:00,158,Greenwood Hardware,Seattle Stained Glass,
05/26/2021,Wed,LW4,18:00,20:00,159,Morgan's Plumbing,TNT Taqueria,
