Game,Day,Date,Location,Game Start,Game End,Away,Home,
6,Saturday,3/27/2021,Woodinville Sports Fields #2E,11:30 AM,1:00 PM,WLL Fireballs,WLL Cowgirls,
7,Saturday,3/27/2021,Woodinville Sports Fields #2W,11:30 AM,1:00 PM,NLL Sharpe,WLL Wolverines,
5,Saturday,3/27/2021,North Creek Sports Field #2,12:00 PM,2:00 PM,NSLL Storm,NLL Pink Panthers,
10,Saturday,3/27/2021,Northshore Athletic Fields #7,1:00 PM,3:00 PM,WLL Jackrabbits,NSLL Waves,
9,Saturday,3/27/2021,North Creek Sports Field #4,2:45 PM,5:00 PM,WLL Mudhens,NBLL Cheetahs,
11,Saturday,3/27/2021,Northshore Athletic Fields #6,6:00 PM,8:00 PM,NBLL Huskies,NSLL Thunder,
,,,,,,,,
28,Saturday,4/3/2021,Northshore Athletic Fields #7,8:00 AM,10:00 AM,WLL Cowgirls,WLL Jackrabbits,
29,Saturday,4/3/2021,Sunrise Elementary #1,9:30 AM,11:00 AM,NSLL Thunder,WLL Mudhens,
30,Saturday,4/3/2021,Northshore Athletic Fields #7,10:30 AM,12:30 PM,NBLL Cheetahs,WLL Fireballs,
31,Saturday,4/3/2021,North Creek Sports Field #3,11:45 AM,2:00 PM,WLL Wolverines,NBLL Huskies,
33,Saturday,4/3/2021,Cedar Grove Park,12:30 PM,2:30 PM,NLL Pink Panthers,NLL Sharpe,
38,Saturday,4/3/2021,Northshore Athletic Fields #7,6:00 PM,8:00 PM,NSLL Waves,NSLL Storm,
,,,,,,,,
1,Saturday,4/24/2021,Maple Leaf Park #1,9:15 AM,11:00 AM,RUGLL Dragonflies,RUGLL Fireflies,
76,Saturday,4/24/2021,Sunrise Elementary #1,9:30 AM,11:00 AM,NBLL Huskies,WLL Mudhens,
77,Saturday,4/24/2021,Cedar Grove Park,10:00 AM,12:00 PM,WLL Wolverines,NLL Pink Panthers,
2,Saturday,4/24/2021,West Queen Anne Playfield #2,10:15 AM,12:00 PM,MLL W.G. Clark,QALL Golden Phoenix,
3,Saturday,4/24/2021,Ross Playground - Lower,11:00 AM,12:30 PM,NCLL Bluebirds,NCLL Koalas,
80,Saturday,4/24/2021,Sunrise Elementary #1,11:30 AM,1:00 PM,NSLL Storm,WLL Cowgirls,
79,Saturday,4/24/2021,North Creek Sports Field #3,11:45 AM,2:00 PM,WLL Jackrabbits,NBLL Cheetahs,
4,Saturday,4/24/2021,West Queen Anne Playfield #2,12:15 PM,2:00 PM,QALL Tiger Lillies,QALL Thunder Cheetahs,
5,Saturday,4/24/2021,Mickey Merriam Playfield #11,2:00 PM,3:45 PM,NESLL Bulldogs,NESLL Super Girls,
6,Saturday,4/24/2021,Lawton Park,2:30 PM,4:15 PM,MLL Firehawks,MLL Montlake Partners,
83,Saturday,4/24/2021,Northshore Athletic Fields #7,3:30 PM,5:30 PM,NLL Sharpe,NSLL Waves,
