Game,Day,Date,Location,Game Start,Game End,Away,Home,,,,,,
1,Saturday,4/24/2021,Lawton Park,9:00 AM,11:15 AM,MLL Dolphins,MLL Dearie Law Group,,,,,,
2,Saturday,4/24/2021,Maple Leaf #2,9:00 AM,11:00 AM,Northeast #3,RUGLL Alley Cats,,,,,,
3,Saturday,4/24/2021,Mickey Merriam Playfield #11,11:00 AM,1:15 PM,NESLL Wolfpack,NESLL Golden Girls,,,,,,
4,Saturday,4/24/2021,Lower Woodland Playfield #3,11:30 AM,1:30 PM,NCLL Cube Smart Cats,NCLL Cheeto Sloths,,,,,,
5,Saturday,4/24/2021,Lower Woodland Playfield #4,11:30 AM,1:30 PM,NWLL Ballard Pediatric Denistry,NCLL Lightning Dogs,,,,,,
6,Saturday,4/24/2021,Lawton Park,12:00 PM,2:00 PM,Queen Anne,MLL Ferris Turney,,,,,,
7,Saturday,4/24/2021,Gilman Playfield #2,1:30 PM,3:45 PM,MLL Blue Tigers,BLL Dragons,,,,,,
,,,,,,,,,,,,,
8,Saturday,5/1/2021,Lawton Park,9:00 AM,11:15 AM,BLL Dragons,MLL Dolphins,,,,,,
9,Saturday,5/1/2021,Dahl Playfield #3,11:00 AM,1:15 PM,Northeast #3,NESLL Golden Girls,,,,,,
10,Saturday,5/1/2021,Lower Woodland Playfield #3,11:30 AM,1:30 PM,NCLL Lightning Dogs,NCLL Cube Smart Cats,,,,,,
11,Saturday,5/1/2021,Lower Woodland Playfield #4,11:30 AM,1:30 PM,NESLL Wolfpack,NCLL Cheeto Sloths,,,,,,
12,Saturday,5/1/2021,Lawton Park,11:45 AM,2:00 PM,MLL Ferris Turney,MLL Dearie Law Group,,,,,,
13,Saturday,5/1/2021,West Queen Anne Playfield #2,12:15 PM,2:15 PM,MLL Blue Tigers,Queen Anne,,,,,,
14,Saturday,5/1/2021,Ingraham High School - Softball Field,4:30 PM,6:45 PM,RUGLL Alley Cats,NWLL Ballard Pediatric Denistry,,,,,,
,,,,,,,,,,,,,
15,Tuesday,5/4/2021,Lawton Park,5:30 PM,7:45 PM,MLL Blue Tigers,MLL Ferris Turney,,,,,,
16,Wednesday,5/5/2021,Lawton Park,5:30 PM,7:45 PM,BLL Dragons,MLL Dearie Law Group,,,,,,
17,Wednesday,5/5/2021,West Queen Anne Playfield #2,6:00 PM,8:15 PM,SCLL Daisies,Queen Anne,,,,,,
18,Saturday,5/8/2021,Lawton Park,9:00 AM,11:15 AM,MLL Dolphins,MLL Blue Tigers,,,,,,
19,Saturday,5/8/2021,Soundview Playfield #4,9:30 AM,11:45 AM,NESLL Golden Girls,NWLL Ballard Pediatric Denistry,,,,,,
20,Saturday,5/8/2021,Dahl Playfield #3,11:00 AM,1:15 PM,NCLL Cube Smart Cats,NESLL Wolfpack,,,,,,
21,Saturday,5/8/2021,Lower Woodland Playfield #3,11:30 AM,1:30 PM,RUGLL Alley Cats,NCLL Lightning Dogs,,,,,,
22,Saturday,5/8/2021,Lawton Park,11:45 AM,2:00 PM,BLL Dragons,MLL Ferris Turney,,,,,,
23,Saturday,5/8/2021,Dahl Playfield #3,2:00 PM,4:15 PM,NCLL Cheeto Sloths,Northeast #3,,,,,,
24,Saturday,5/8/2021,West Queen Anne Playfield #2,2:15 PM,4:15 PM,MLL Dearie Law Group,Queen Anne,,,,,,
,,,,,,,,,,,,,
25,Tuesday,5/11/2021,Lawton Park,5:30 PM,7:45 PM,MLL Dearie Law Group,MLL Ferris Turney,,,,,,
26,Wednesday,5/12/2021,Lawton Park,5:30 PM,7:45 PM,Queen Anne,MLL Blue Tigers,,,,,,
27,Wednesday,5/12/2021,Ross Playground - Lower,5:30 PM,7:45 PM,NESLL Golden Girls,NCLL Lightning Dogs,,,,,,
28,Wednesday,5/12/2021,Green Lake Park #2,6:00 PM,8:15 PM,NESLL Wolfpack,Northeast #3,,,,,,
29,Wednesday,5/12/2021,Judkins Park #2,6:00 PM,8:15 PM,MLL Dolphins,SCLL Comets,,,,,,
30,Wednesday,5/12/2021,Northacres Park #2,6:00 PM,8:15 PM,NCLL Cheeto Sloths,NWLL Ballard Pediatric Denistry,,,,,,
31,Wednesday,5/12/2021,Lower Woodland Playfield #3,6:15 PM,8:00 PM,RUGLL Alley Cats,NCLL Cube Smart Cats,,,,,,
32,Saturday,5/15/2021,Lawton Park,9:00 AM,11:15 AM,MLL Ferris Turney,MLL Dolphins,,,,,,
33,Saturday,5/15/2021,Dahl Playfield #3,11:00 AM,1:15 PM,NCLL Cube Smart Cats,Northeast #3,,,,,,
34,Saturday,5/15/2021,Lower Woodland Playfield #3,11:30 AM,1:30 PM,NCLL Lightning Dogs,NCLL Cheeto Sloths,,,,,,
35,Saturday,5/15/2021,Lawton Park,11:45 AM,2:00 PM,MLL Dearie Law Group,MLL Blue Tigers,,,,,,
36,Saturday,5/15/2021,Soundview Playfield #3,12:30 PM,2:45 PM,NESLL Wolfpack,NWLL Ballard Pediatric Denistry,,,,,,
37,Saturday,5/15/2021,Gilman Playfield #2,1:30 PM,3:45 PM,Queen Anne,BLL Dragons,,,,,,
38,Saturday,5/15/2021,Dahl Playfield #3,2:00 PM,4:15 PM,RUGLL Alley Cats,NESLL Golden Girls,,,,,,
,,,,,,,,,,,,,
39,Tuesday,5/18/2021,Lawton Park,5:30 PM,7:45 PM,MLL Blue Tigers,MLL Dolphins,,,,,,
