Game,Day,Date,Location,Game Start,Game End,Away,Home,Umpire #1 (Home Plate),Umpire #2 (Field),,,,,,,,,
1,Saturday,4/3/2021,Magnolia Playfield #2,9:00 AM,11:15 AM,MLL Phoenix,MLL Panthers,,,,,,,,,,,
2,Saturday,4/3/2021,Gilman Playfield #2,11:00 AM,1:15 PM,BLL Blazing Tigers,BLL Devils,,,,,,,,,,,
3,Saturday,4/3/2021,Lower Woodland Playfield #5,11:30 AM,1:30 PM,NCLL Dynamite,NCLL SantoriniDave.com,,,,,,,,,,,
4,Saturday,4/3/2021,Maple Leaf Playfield #2,2:00 PM,4:00 PM,RUGLL Raptors,RUGLL Ravens,,,,,,,,,,,
5,Saturday,4/3/2021,West Queen Anne Playfield #2,2:00 PM,4:00 PM,NCLL Harjo Construction,QALL Phoenix,,,,,,,,,,,
6,Saturday,4/3/2021,Laurelhurst Playfield #1,3:00 PM,5:30 PM,NESLL Blue Angels,NESLL Thunder Sisters,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
7,Tuesday,4/6/2021,Lawton Park,5:00 PM,7:15 PM,NCLL SantoriniDave.com,MLL Phoenix,,,,,,,,,,,
8,Tuesday,4/6/2021,View Ridge Playfield #2,5:30 PM,7:45 PM,RUGLL Ravens,NESLL Blue Angels,,,,,,,,,,,
9,Tuesday,4/6/2021,Loyal Heights Playfield #2,5:45 PM,8:00 PM,MLL Panthers,BLL Blazing Tigers,Wren Norris,,,,,,,,,,
10,Tuesday,4/6/2021,West Queen Anne Playfield #2,6:00 PM,8:15 PM,BLL Devils,QALL Phoenix,,,,,,,,,,,
11,Tuesday,4/6/2021,Soundview Playfield #4,6:00 PM,8:00 PM,NESLL Thunder Sisters,NWLL Purple Thunder,Umpires NW,Umpires NW,,,,,,,,,
12,Tuesday,4/6/2021,Lower Woodland Playfield #3,6:30 PM,8:30 PM,NCLL Dynamite,NCLL Harjo Construction,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
13,Tuesday,4/13/2021,Maple Leaf Playfield #2,6:00 PM,8:15 PM,NWLL Purple Thunder,RUGLL Raptors,,,,,,,,,,,
14,Tuesday,4/13/2021,West Queen Anne Playfield #2,6:00 PM,8:15 PM,BLL Blazing Tigers,QALL Phoenix,,,,,,,,,,,
