Game,Day,Date,Location,Game Start,Game End,Away,Home,Umpire #1 (Home Plate),Umpire #2 (Field),,,,,,,,
12,Monday,3/29/2021,Bastyr University - North,5:30 PM,7:30 PM,NSLL Huskies,NLL Blue Jays,,,,,,,,,,
15,Monday,3/29/2021,Northshore Athletic Fields #2,5:30 PM,7:30 PM,NBLL Jaguars,WLL Daily,,,,,,,,,,
20,Wednesday,3/31/2021,Bastyr University - North,5:30 PM,7:30 PM,WLL Daily,NLL Thunder,,,,,,,,,,
21,Wednesday,3/31/2021,Northshore Athletic Fields #3,5:30 PM,7:30 PM,NSLL Huskies,NBLL Jaguars,,,,,,,,,,
25,Thursday,4/1/2021,North Creek Sportsfields #4,6:15 PM,8:30 PM,NLL Blue Jays,NBLL Jaguars,,,,,,,,,,
27,Friday,4/2/2021,North Creek Sportsfields #1,6:30 PM,8:30 PM,NLL Thunder,NSLL Huskies,,,,,,,,,,
1,Saturday,4/3/2021,Gilman Playfield #2,9:00 AM,11:00 AM,SLL Strikers,BLL Blue Thunder,Bruce Mainwaring,,,,,,,,,
2,Saturday,4/3/2021,View Ridge Playfield #2,9:00 AM,11:30 AM,NESLL/RUGLL Aces,NESLL/RUGLL LLC,,,,,,,,,,
3,Saturday,4/3/2021,Lower Woodland Playfield #6,11:30 AM,1:30 PM,NWLL Spicy Hens,NCLL/QALL Reignmakers,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4,Monday,4/5/2021,Lawton Park,5:30 PM,8:00 PM,MLL Criminals,MLL Thrillers,Jeremy Moore,,,,,,,,,
42,Monday,4/5/2021,Woodinville Sportsfields #2W,5:30 PM,7:30 PM,NSLL Huskies,WLL Daily,,,,,,,,,,
44,Monday,4/5/2021,North Creek Sportsfields #3,6:00 PM,8:30 PM,NLL Blue Jays,NLL Thunder,,,,,,,,,,
5,Wednesday,4/7/2021,Dahl Playfield #3,5:30 PM,8:00 PM,NCLL/QALL Reignmakers,NESLL/RUGLL Aces,,,,,,,,,,
6,Wednesday,4/7/2021,Lawton Park,5:30 PM,8:00 PM,NESLL/RUGLL LLC,MLL Criminals,Jeremy Moore,,,,,,,,,
7,Wednesday,4/7/2021,Ballard Community Center #2,5:45 PM,8:00 PM,MLL Thrillers,BLL Blue Thunder,Aaron Volosin,Thomas Volosin,,,,,,,,
47,Wednesday,4/7/2021,Bastyr University - North,6:00 PM,8:00 PM,WLL Daily,NLL Blue Jays,,,,,,,,,,
51,Thursday,4/8/2021,North Creek Sportsfields #2,6:15 PM,8:30 PM,NLL Thunder,NBLL Jaguars,,,,,,,,,,
53,Friday,4/9/2021,Woodinville Sportsfields #2W,5:30 PM,7:30 PM,NBLL Jaguars,WLL Daily,,,,,,,,,,
54,Friday,4/9/2021,North Creek Sportsfields #1,6:30 PM,8:30 PM,NLL Blue Jays,NSLL Huskies,,,,,,,,,,
,,,,,,,,,,,,,,,,,
13,Monday,4/12/2021,Lower Woodland #3,6:00 PM,8:30 PM,NCLL/QALL Reignmakers,SLL Strikers,Bruce Mainwaring,,"4/12 - Moved from this Saturday, 4/17 at Hamlin Park",,,,,,,
8,Wednesday,4/14/2021,Hamlin Park #1,5:30 PM,8:00 PM,NESLL/RUGLL LLC,SLL Strikers,Bruce Mainwaring,,"4/14 - Per Bruce Mainwaring, this game has been postponed",,,,,,,
9,Wednesday,4/14/2021,Lawton Park,5:30 PM,8:00 PM,NWLL Spicy Hens,MLL Thrillers,,,,,,,,,,
10,Wednesday,4/14/2021,Mickey Merriam Playfield #9,5:30 PM,8:00 PM,BLL Blue Thunder,NESLL/RUGLL Aces,,,,,,,,,,
11,Wednesday,4/14/2021,West Queen Anne Playfield #2,6:00 PM,8:30 PM,MLL Criminals,NCLL/QALL Reignmakers,Linda Brown,Steve Brown / Jeremy Moore,"4/13 - Game postponed, make-up day in-work, possibly 4/19",,,,,,,
12,Saturday,4/17/2021,Soundview Playfield #3,2:30 PM,5:00 PM,NESLL/RUGLL Aces,NWLL Spicy Hens,Umpires NW,Umpires NW,4/14 - Field moved from Ingraham High School due to no spectator policy,,,,,,,
,,,,,,,,,,,,,,,,,
14,Monday,4/19/2021,Dahl Playfield #3,5:30 PM,8:00 PM,BLL Blue Thunder,NESLL/RUGLL LLC,,,,,,,,,,
15,Monday,4/19/2021,Judkins Park #2,5:30 PM,8:00 PM,MLL Thrillers,SCLL Blue Sox,,,,,,,,,,
58,Monday,4/19/2021,Timbercrest Middle School - 60ft,5:30 PM,7:30 PM,NLL Thunder,WLL Daily,,,,,,,,,,
59,Monday,4/19/2021,North Creek Sportsfields #1,6:30 PM,8:30 PM,NBLL Jaguars,NSLL Huskies,Randy Navarro,,,,,,,,,
62,Wednesday,4/21/2021,Cedar Grove Park,5:30 PM,7:30 PM,NSLL Huskies,NLL Thunder,,,,,,,,,,
16,Wednesday,4/21/2021,Lawton Park,5:30 PM,8:00 PM,NWLL Spicy Hens,MLL Criminals,Jeremy Moore,,,,,,,,,
17,Wednesday,4/21/2021,Mickey Merriam Playfield #9,5:30 PM,8:00 PM,MLL Thrillers,NESLL/RUGLL Aces,,,,,,,,,,
18,Wednesday,4/21/2021,West Queen Anne Playfield #2,6:00 PM,8:30 PM,BLL Blue Thunder,NCLL/QALL Reignmakers,Linda Brown,Steve Brown,,,,,,,,
67,Thursday,4/22/2021,North Creek Sportsfields #4,6:15 PM,8:30 PM,NLL Blue Jays,NBLL Jaguars,,,,,,,,,,
69,Friday,4/23/2021,Bastyr University - North,6:00 PM,8:00 PM,NLL Thunder,NLL Blue Jays,,,,,,,,,,
72,Friday,4/23/2021,Northshore Athletic Fields #3,6:00 PM,8:00 PM,WLL Daily,NSLL Huskies,,,,,,,,,,
20,Saturday,4/24/2021,Mickey Merriam Playfield #9,3:00 PM,5:30 PM,MLL Criminals,NESLL/RUGLL Aces,,Jeremy Moore,4/25 - Game was rained out,,,,,,,
,,,,,,,,,,,,,,,,,
87,Monday,4/26/2021,Cedar Grove Park,5:30 PM,7:30 PM,NBLL Jaguars,NLL Thunder,,,,,,,,,,
21,Monday,4/26/2021,Judkins Park #2,5:30 PM,8:00 PM,NCLL/QALL Reignmakers,SCLL Blue Sox,,,,,,,,,,
22,Monday,4/26/2021,Magnolia Playfield #2,5:30 PM,8:00 PM,NESLL/RUGLL LLC,MLL Thrillers,,,,,,,,,,
19,Monday,4/26/2021,Soundview Playfield #3,6:00 PM,8:30 PM,SLL Strikers,NWLL Spicy Hens,Umpires NW,Umpires NW,"4/12 - Game moved from Saturday, April 24th at Soundview #4 at 12:30 pm",,,,,,,
91,Monday,4/26/2021,Woodinville Sportsfields #2W,5:30 PM,7:30 PM,NLL Blue Jays,WLL Daily,,,,,,,,,,
96,Wednesday,4/28/2021,Cedar Grove Park,5:30 PM,7:30 PM,NSLL Huskies,NLL Blue Jays,,,,,,,,,,
23,Wednesday,4/28/2021,Dahl Playfield #3,5:30 PM,8:00 PM,NCLL/QALL Reignmakers,NESLL/RUGLL LLC,,,,,,,,,,
24,Wednesday,4/28/2021,Hamlin Park #1,5:30 PM,8:00 PM,NESLL/RUGLL Aces,SLL Strikers,Bruce Mainwaring,,,,,,,,,
25,Wednesday,4/28/2021,Magnolia Playfield #2,5:30 PM,8:00 PM,MLL Thrillers,MLL Criminals,Jeremy Moore,,,,,,,,,
26,Wednesday,4/28/2021,Loyal Heights Playfield #2,6:00 PM,8:30 PM,NWLL Spicy Hens,BLL Blue Thunder,Aaron Volosin,Thomas Volosin,4/11 - Game field and time changed from Ballard Community Center #2 at 5:45 pm,,,,,,,
103,Thursday,4/29/2021,North Creek Sportsfields #4,6:15 PM,8:30 PM,WLL Daily,NBLL Jaguars,,,,,,,,,,
27,Friday,4/30/2021,Magnolia Playfield #2,5:30 PM,8:00 PM,SCLL Peaches,MLL Criminals,Jeremy Moore,,,,,,,,,
106,Friday,4/30/2021,Moorlands Park,6:00 PM,8:00 PM,WLL Daily,NLL Thunder,,,,,,,,,,
110,Friday,4/30/2021,Skyview Middle School - 60 ft,6:00 PM,8:00 PM,NSLL Huskies,NBLL Jaguars,,,,,,,,,,
28,Saturday,5/1/2021,Magnolia Playfield #2,9:00 AM,11:30 AM,NCLL/QALL Reignmakers,MLL Thrillers,,,,,,,,,,
29,Saturday,5/1/2021,Mickey Merriam Playfield #9,3:00 PM,5:30 PM,BLL Blue Thunder,NESLL/RUGLL Aces,,,,,,,,,,
,,,,,,,,,,,,,,,,,
30,Monday,5/3/2021,Magnolia Playfield #2,5:30 PM,8:00 PM,SLL Strikers,MLL Criminals,Jeremy Moore,,,,,,,,,
31,Monday,5/3/2021,Judkins Park #2,6:00 PM,8:30 PM,NWLL Spicy Hens,SCLL Blue Sox,,,,,,,,,,
128,Monday,5/3/2021,North Creek Sportsfields #3,6:00 PM,8:30 PM,NBLL Jaguars,NLL Blue Jays,,,,,,,,,,
124,Monday,5/3/2021,Northshore Athletic Fields #3,6:00 PM,8:00 PM,NLL Thunder,NSLL Huskies,,,,,,,,,,
132,Wednesday,5/5/2021,Cedar Grove Park,5:30 PM,7:30 PM,NLL Blue Jays,NLL Thunder,,,,,,,,,,
32,Wednesday,5/5/2021,Magnolia Playfield #2,5:30 PM,8:00 PM,BLL Blue Thunder,MLL Criminals,Jeremy Moore,,,,,,,,,
33,Wednesday,5/5/2021,Hamlin Park #1,6:00 PM,8:30 PM,MLL Thrillers,SLL Strikers,,,,,,,,,,
134,Wednesday,5/5/2021,Northshore Athletic Fields #2,6:00 PM,8:00 PM,NSLL Huskies,WLL Daily,,,,,,,,,,
34,Wednesday,5/5/2021,Soundview Playfield #4,6:00 PM,8:30 PM,NESLL/RUGLL LLC,NWLL Spicy Hens,Umpires NW,Umpires NW,,,,,,,,
140,Friday,5/7/2021,Bastyr University - North,6:00 PM,8:00 PM,WLL Daily,NLL Blue Jays,,,,,,,,,,
35,Friday,5/7/2021,Hamlin Park #1,6:00 PM,8:30 PM,BLL Blue Thunder,SLL Strikers,,,,,,,,,,
142,Friday,5/7/2021,Moorlands Park,6:00 PM,8:00 PM,NBLL Jaguars,NLL Thunder,,,,,,,,,,
36,Saturday,5/8/2021,Mickey Merriam Playfield #9,3:00 PM,5:30 PM,NESLL/RUGLL LLC,NESLL/RUGLL Aces,,,,,,,,,,
68,Saturday,5/8/2021,Northshore Athletic Fields #2,3:15 PM,5:15 PM,Kirkland American,NBLL Jaguars,,,,,,,,,,
37,Saturday,5/8/2021,Soundview Playfield #4,3:30 PM,6:00 PM,NCLL/QALL Reignmakers,NWLL Spicy Hens,Umpires NW,Umpires NW,4/18 - Field and time moved from Ingraham High School at 4:30 pm,,,,,,,
,,,,,,,,,,,,,,,,,
38,Monday,5/10/2021,Magnolia Playfield #2,5:30 PM,8:00 PM,BLL Blue Thunder,MLL Thrillers,,,,,,,,,,
39,Monday,5/10/2021,Hamlin Park #1,6:00 PM,8:30 PM,SCLL Blue Sox,SLL Strikers,,,,,,,,,,
40,Monday,5/10/2021,Mickey Merriam Playfield #9,6:00 PM,8:30 PM,MLL Criminals,NESLL/RUGLL LLC,,Jeremy Moore,,,,,,,,
163,Monday,5/10/2021,Tambark Creek Park - NW,6:00 PM,8:30 PM,WLL Daily,NBLL Jaguars,,,,,,,,,,
41,Monday,5/10/2021,Lower Woodland Playfield #6,6:15 PM,8:00 PM,NESLL/RUGLL Aces,NCLL/QALL Reignmakers,,,,,,,,,,
164,Monday,5/10/2021,North Creek Sportsfields #1,6:30 PM,8:30 PM,NLL Blue Jays,NSLL Huskies,,,,,,,,,,
42,Wednesday,5/12/2021,Magnolia Playfield #2,5:30 PM,8:00 PM,NCLL/QALL Reignmakers,MLL Criminals,Jeremy Moore,,,,,,,,,
43,Wednesday,5/12/2021,Ballard Community Center #2,6:00 PM,8:30 PM,SCLL Peaches,BLL Blue Thunder,,,4/11 - Game time changed from a 5:45 PM start,,,,,,,
44,Wednesday,5/12/2021,Dahl Playfield #3,6:00 PM,8:30 PM,SLL Strikers,NESLL/RUGLL LLC,,,,,,,,,,
172,Wednesday,5/12/2021,Northshore Athletic Fields #2,6:00 PM,8:00 PM,NLL Thunder,WLL Daily,,,,,,,,,,
45,Wednesday,5/12/2021,Soundview Playfield #4,6:00 PM,8:30 PM,MLL Thrillers,NWLL Spicy Hens,Umpires NW,Umpires NW,,,,,,,,
176,Wednesday,5/12/2021,North Creek Sportsfields #1,6:30 PM,8:30 PM,NBLL Jaguars,NSLL Huskies,,,,,,,,,,
46,Saturday,5/15/2021,Gilman Playfield #2,9:00 AM,11:00 AM,NESLL/RUGLL LLC,BLL Blue Thunder,Dave Trop,,,,,,,,,
185,Saturday,5/15/2021, Moorlands Park,11:00 AM,1:00 PM,NLL Thunder,NLL Blue Jays,,,,,,,,,,
47,Saturday,5/15/2021,Lower Woodland Playfield #6,11:30 AM,1:30 PM,SLL Strikers,NCLL/QALL Reignmakers,Steve Brown,,,,,,,,,
48,Saturday,5/15/2021,Mickey Merriam Playfield #9,3:00 PM,5:30 PM,NWLL Spicy Hens,NESLL/RUGLL Aces,,,,,,,,,,
,,,,,,,,,,,,,,,,,
49,Monday,5/17/2021,Gilman Playfield #2,5:45 PM,8:00 PM,NCLL/QALL Reignmakers,BLL Blue Thunder,Dave Trop,James Sand,,,,,,,,
50,Monday,5/17/2021,Lawton Park,5:45 PM,8:15 PM,NESLL/RUGLL Aces,MLL Thrillers,,,,,,,,,,
51,Monday,5/17/2021,Mickey Merriam Playfield #9,6:00 PM,8:30 PM,SLL Strikers,NESLL/RUGLL LLC,,,,,,,,,,
52,Monday,5/17/2021,Soundview Playfield #3,6:00 PM,8:30 PM,MLL Criminals,NWLL Spicy Hens,Umpires NW,Umpires NW / Jeremy Moore,,,,,,,,
53,Wednesday,5/19/2021,Dahl Playfield #3,6:00 PM,8:30 PM,MLL Thrillers,NESLL/RUGLL LLC,,,,,,,,,,
54,Wednesday,5/19/2021,Hamlin Park #1,6:00 PM,8:30 PM,NWLL Spicy Hens,SLL Strikers,,,,,,,,,,
55,Wednesday,5/19/2021,Magnolia Playfield #2,6:00 PM,8:30 PM,NESLL/RUGLL Aces,MLL Criminals,Jeremy Moore,,,,,,,,,
56,Friday,5/21/2021,Magnolia Playfield #2,6:00 PM,8:30 PM,MLL Criminals,MLL Thrillers,Jeremy Moore,,,,,,,,,
57,Saturday,5/22/2021,Lower Woodland Playfield #6,11:30 AM,1:30 PM,NESLL/RUGLL LLC,NCLL/QALL Reignmakers,Linda Brown,,,,,,,,,
58,Saturday,5/22/2021,Northacres Park #1,12:30 PM,3:00 PM,BLL Blue Thunder,NWLL Spicy Hens,Umpires NW,Umpires NW,,,,,,,,
59,Saturday,5/22/2021,Mickey Merriam Playfield #9,3:00 PM,5:30 PM,SLL Strikers,NESLL/RUGLL Aces,,,,,,,,,,
,,,,,,,,,,,,,,,,,
60,Monday,5/24/2021,Gilman Playfield #2,5:45 PM,8:00 PM,NESLL/RUGLL Aces,BLL Blue Thunder,Dave Trop,,,,,,,,,
61,Monday,5/24/2021,Hamlin Park #1,6:00 PM,8:30 PM,MLL Criminals,SLL Strikers,,Jeremy Moore,,,,,,,,
62,Monday,5/24/2021,Soundview Playfield #4,6:00 PM,8:30 PM,NESLL/RUGLL LLC,NWLL Spicy Hens,Umpires NW,Umpires NW,,,,,,,,
63,Monday,5/24/2021,Lower Woodland Playfield #6,6:30 PM,8:30 PM,MLL Thrillers,NCLL/QALL Reignmakers,Linda Brown,,,,,,,,,
64,Wednesday,5/26/2021,Loyal Heights Playfield #2,5:45 PM,8:00 PM,MLL Criminals,BLL Blue Thunder,,Jeremy Moore,4/11 - Field changed from Ballard Community Center #2,,,,,,,
65,Wednesday,5/26/2021,Lawton Park,5:45 PM,8:15 PM,SLL Strikers,MLL Thrillers,,,,,,,,,,
66,Wednesday,5/26/2021,Dahl Playfield #3,6:00 PM,8:30 PM,NWLL Spicy Hens,NESLL/RUGLL LLC,,,,,,,,,,
