Date,Day,Start - End Time,Facility/Equipment/Instructor
31-Mar-21,Wednesday,05:00 PM - 07:00 PM,B F Day Playfield Ballfield
31-Mar-21,Wednesday,06:00 PM - 08:00 PM,Lower Woodland Playfield Ballfield 01
31-Mar-21,Wednesday,05:30 PM - 08:00 PM,Lower Woodland Playfield Ballfield 03
31-Mar-21,Wednesday,05:30 PM - 08:00 PM,Lower Woodland Playfield Ballfield 04
31-Mar-21,Wednesday,06:00 PM - 08:00 PM,Lower Woodland Playfield Ballfield 05
31-Mar-21,Wednesday,06:00 PM - 08:30 PM,Lower Woodland Playfield Ballfield 06
31-Mar-21,Wednesday,05:00 PM - 07:00 PM,Ross Playfield Lower Ballfield
1-Apr-21,Thursday,05:30 PM - 07:00 PM,B F Day Playfield Ballfield
1-Apr-21,Thursday,06:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01
1-Apr-21,Thursday,05:30 PM - 08:00 PM,Lower Woodland Playfield Ballfield 03
1-Apr-21,Thursday,05:30 PM - 08:00 PM,Lower Woodland Playfield Ballfield 04
1-Apr-21,Thursday,06:00 PM - 08:00 PM,Lower Woodland Playfield Ballfield 05
1-Apr-21,Thursday,06:00 PM - 08:30 PM,Lower Woodland Playfield Ballfield 06
1-Apr-21,Thursday,05:00 PM - 07:00 PM,Ross Playfield Lower Ballfield
2-Apr-21,Friday,05:00 PM - 07:00 PM,B F Day Playfield Ballfield
2-Apr-21,Friday,06:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01
2-Apr-21,Friday,05:00 PM - 07:00 PM,Lower Woodland Playfield Ballfield 03
2-Apr-21,Friday,05:00 PM - 07:00 PM,Lower Woodland Playfield Ballfield 04
2-Apr-21,Friday,06:00 PM - 08:00 PM,Lower Woodland Playfield Ballfield 05
2-Apr-21,Friday,06:00 PM - 08:00 PM,Lower Woodland Playfield Ballfield 06
2-Apr-21,Friday,05:00 PM - 07:00 PM,Ross Playfield Lower Ballfield
3-Apr-21,Saturday,09:00 AM - 05:00 PM,B F Day Playfield Ballfield
3-Apr-21,Saturday,09:00 AM - 03:00 PM,Lower Woodland Playfield Ballfield 01
3-Apr-21,Saturday,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 03
3-Apr-21,Saturday,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 04
