Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Attend/Qty
"Mar 1, 2023",Wednesday,,05:45 PM - 09:15 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 1, 2023",Wednesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 04,R108416,1
"Mar 1, 2023",Wednesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 05,R108416,1
"Mar 1, 2023",Wednesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 06,R108416,1
"Mar 1, 2023",Wednesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 2, 2023",Thursday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 2, 2023",Thursday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 06,R108416,1
"Mar 2, 2023",Thursday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 05,R108416,1
"Mar 2, 2023",Thursday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 04,R108416,1
"Mar 2, 2023",Thursday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 3, 2023",Friday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 3, 2023",Friday,,05:45 PM - 08:00 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 4, 2023",Saturday,,10:00 AM - 04:00 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 4, 2023",Saturday,,10:00 AM - 04:00 PM,Lower Woodland Playfield Ballfield 06,R108416,1
"Mar 4, 2023",Saturday,,10:00 AM - 08:00 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 4, 2023",Saturday,,10:00 AM - 04:00 PM,Lower Woodland Playfield Ballfield 04,R108416,1
"Mar 4, 2023",Saturday,,10:00 AM - 04:00 PM,Lower Woodland Playfield Ballfield 05,R108416,1
"Mar 6, 2023",Monday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 05,R108416,1
"Mar 6, 2023",Monday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 04,R108416,1
"Mar 6, 2023",Monday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 6, 2023",Monday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 06,R108416,1
"Mar 6, 2023",Monday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 7, 2023",Tuesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 7, 2023",Tuesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 06,R108416,1
"Mar 7, 2023",Tuesday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 7, 2023",Tuesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 04,R108416,1
"Mar 7, 2023",Tuesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 05,R108416,1
"Mar 8, 2023",Wednesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 05,R108416,1
"Mar 8, 2023",Wednesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 04,R108416,1
"Mar 8, 2023",Wednesday,,05:45 PM - 09:15 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 8, 2023",Wednesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 06,R108416,1
"Mar 8, 2023",Wednesday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 9, 2023",Thursday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 9, 2023",Thursday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 06,R108416,1
"Mar 9, 2023",Thursday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 05,R108416,1
"Mar 9, 2023",Thursday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 9, 2023",Thursday,,05:45 PM - 08:30 PM,Lower Woodland Playfield Ballfield 04,R108416,1
"Mar 10, 2023",Friday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 10, 2023",Friday,,05:45 PM - 08:00 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 11, 2023",Saturday,,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 03,R108416,1
"Mar 11, 2023",Saturday,,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 05,R108416,1
"Mar 11, 2023",Saturday,,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 06,R108416,1
"Mar 11, 2023",Saturday,,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 01,R108421,1
"Mar 11, 2023",Saturday,,09:00 AM - 05:00 PM,Ross Playfield Lower Ballfield,R108416,1
"Mar 11, 2023",Saturday,,09:00 AM - 05:00 PM,University Playfield Ballfield 01,R108416,1
"Mar 11, 2023",Saturday,,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 04,R108416,1
