Date,Day,Permit,Field,Start time,End time,Home,Away
1-Mar,Fri,05:45 PM - 08:00 PM,lw3,,,,
2-Mar,Sat,09:00 AM - 06:00 PM,lw3,,,,
2-Mar,Sat,09:00 AM - 06:00 PM,lw4,,,,
2-Mar,Sat,09:00 AM - 06:00 PM,lw5,,,,
2-Mar,Sat,09:00 AM - 04:00 PM,lw6,,,,
3-Mar,Sun,04:00 PM - 06:00 PM,lw5,,,,
4-Mar,Mon,05:45 PM - 09:00 PM,lw3,,,,
4-Mar,Mon,05:45 PM - 09:00 PM,lw4,,,,
4-Mar,Mon,05:45 PM - 09:00 PM,lw5,,,,
4-Mar,Mon,05:45 PM - 09:00 PM,lw6,,,,
5-Mar,Tue,05:45 PM - 09:00 PM,lw3,,,,
5-Mar,Tue,05:45 PM - 09:00 PM,lw4,,,,
5-Mar,Tue,05:45 PM - 09:00 PM,lw5,,,,
5-Mar,Tue,05:45 PM - 09:00 PM,lw6,,,,
6-Mar,Wed,05:45 PM - 09:00 PM,lw3,,,,
6-Mar,Wed,05:45 PM - 09:00 PM,lw4,,,,
6-Mar,Wed,05:45 PM - 09:00 PM,lw5,,,,
6-Mar,Wed,05:45 PM - 09:00 PM,lw6,,,,
7-Mar,Thu,05:45 PM - 09:00 PM,lw3,,,,
7-Mar,Thu,05:45 PM - 09:00 PM,lw4,,,,
7-Mar,Thu,05:45 PM - 09:00 PM,lw5,,,,
7-Mar,Thu,05:45 PM - 09:00 PM,lw6,,,,
8-Mar,Fri,05:45 PM - 08:00 PM,lw3,,,,
9-Mar,Sat,09:00 AM - 06:00 PM,lw3,,,,
9-Mar,Sat,09:00 AM - 06:00 PM,lw4,,,,
9-Mar,Sat,09:00 AM - 06:00 PM,lw5,,,,
9-Mar,Sat,09:00 AM - 06:00 PM,lw6,,,,
9-Mar,Sat,09:00 AM - 05:00 PM,ross,,,,
9-Mar,Sat,09:00 AM - 05:00 PM,university,,,,
10-Mar,Sun,02:00 PM - 04:30 PM,lw3,,,,
11-Mar,Mon,05:00 PM - 07:00 PM,bfday,,,,
11-Mar,Mon,05:45 PM - 09:00 PM,lw3,,,,
11-Mar,Mon,05:45 PM - 09:00 PM,lw4,,,,
11-Mar,Mon,05:45 PM - 09:00 PM,lw5,,,,
11-Mar,Mon,05:45 PM - 09:00 PM,lw6,,,,
11-Mar,Mon,05:00 PM - 07:00 PM,ross,,,,
11-Mar,Mon,05:00 PM - 07:00 PM,university,,,,
12-Mar,Tue,05:00 PM - 07:00 PM,bfday,,,,
12-Mar,Tue,05:45 PM - 09:00 PM,lw3,,,,
12-Mar,Tue,05:45 PM - 09:00 PM,lw4,,,,
12-Mar,Tue,06:00 PM - 09:00 PM,lw5,,,,
12-Mar,Tue,06:00 PM - 09:00 PM,lw6,,,,
12-Mar,Tue,05:30 PM - 07:00 PM,ross,,,,
12-Mar,Tue,05:00 PM - 07:00 PM,university,,,,
13-Mar,Wed,05:00 PM - 07:00 PM,bfday,,,,
13-Mar,Wed,05:45 PM - 09:00 PM,lw3,,,,
13-Mar,Wed,05:45 PM - 09:00 PM,lw4,,,,
13-Mar,Wed,05:45 PM - 09:00 PM,lw5,,,,
13-Mar,Wed,05:45 PM - 09:00 PM,lw6,,,,
13-Mar,Wed,05:00 PM - 07:30 PM,ross,,,,
14-Mar,Thu,05:00 PM - 07:00 PM,bfday,,,,
14-Mar,Thu,06:00 PM - 09:00 PM,lw3,,,,
14-Mar,Thu,06:00 PM - 09:00 PM,lw4,,,,
14-Mar,Thu,05:45 PM - 09:00 PM,lw5,,,,
14-Mar,Thu,05:45 PM - 09:00 PM,lw6,,,,
14-Mar,Thu,06:00 PM - 07:00 PM,ross,,,,
14-Mar,Thu,05:00 PM - 07:00 PM,university,,,,
15-Mar,Fri,05:00 PM - 07:00 PM,bfday,,,,
15-Mar,Fri,05:45 PM - 08:00 PM,lw3,,,,
15-Mar,Fri,05:45 PM - 08:00 PM,lw4,,,,
15-Mar,Fri,05:45 PM - 08:00 PM,lw5,,,,
15-Mar,Fri,05:00 PM - 07:30 PM,lw6,,,,
15-Mar,Fri,05:00 PM - 07:00 PM,ross,,,,
