Date,Day,Permit,Field,Start time,End time,Home,Away
31-May,Wed,05:45 PM - 08:00 PM,lw3,,,,
31-May,Wed,05:45 PM - 08:15 PM,lw4,,,,
31-May,Wed,03:00 PM - 08:15 PM,lw5,,,,
31-May,Wed,06:00 PM - 08:00 PM,ross,,,,
31-May,Wed,05:00 PM - 07:30 PM,university,,,,
1-Jun,Thu,05:45 PM - 08:15 PM,lw4,,,,
1-Jun,Thu,06:00 PM - 08:30 PM,lw5,,,,
1-Jun,Thu,05:00 PM - 07:30 PM,ross,,,,
1-Jun,Thu,05:00 PM - 07:00 PM,university,,,,
2-Jun,Fri,05:00 PM - 07:30 PM,bitter lake 1,,,,
2-Jun,Fri,05:45 PM - 07:00 PM,lw3,,,,
2-Jun,Fri,05:45 PM - 08:15 PM,lw4,,,,
2-Jun,Fri,05:45 PM - 08:15 PM,lw5,,,,
2-Jun,Fri,05:00 PM - 07:00 PM,lw6,,,,
2-Jun,Fri,05:00 PM - 07:30 PM,ross,,,,
3-Jun,Sat,09:00 AM - 01:30 PM,dahl 3,,,,
3-Jun,Sat,01:30 PM - 06:00 PM,dahl 3,,,,
3-Jun,Sat,09:00 AM - 03:00 PM,lw3,,,,
3-Jun,Sat,09:00 AM - 03:00 PM,lw4,,,,
3-Jun,Sat,09:00 AM - 03:00 PM,lw6,,,,
3-Jun,Sat,09:00 AM - 05:00 PM,ross,,,,
3-Jun,Sat,09:00 AM - 12:00 PM,university,,,,
4-Jun,Sun,01:30 PM - 04:30 PM,lw4,,,,
4-Jun,Sun,09:00 AM - 04:15 PM,ross,,,,
5-Jun,Mon,04:30 PM - 07:00 PM,dahl 3,,,,
5-Jun,Mon,05:45 PM - 07:15 PM,lw3,,,,
5-Jun,Mon,05:45 PM - 08:45 PM,lw4,,,,
5-Jun,Mon,05:45 PM - 08:30 PM,lw5,,,,
5-Jun,Mon,05:30 PM - 08:00 PM,lw6,,,,
5-Jun,Mon,05:30 PM - 07:30 PM,ross,,,,
6-Jun,Tue,05:45 PM - 08:45 PM,lw4,,,,
6-Jun,Tue,05:45 PM - 08:30 PM,lw5,,,,
6-Jun,Tue,06:00 PM - 08:00 PM,magnuson 11,,,,
6-Jun,Tue,05:30 PM - 07:30 PM,ross,,,,
6-Jun,Tue,05:00 PM - 07:00 PM,university,,,,
7-Jun,Wed,05:45 PM - 08:30 PM,lw4,,,,
7-Jun,Wed,05:45 PM - 07:15 PM,lw6,,,,
7-Jun,Wed,05:30 PM - 07:30 PM,ross,,,,
7-Jun,Wed,05:45 PM - 08:15 PM,thornton 1,,,,
7-Jun,Wed,05:00 PM - 07:30 PM,university,,,,
8-Jun,Thu,05:45 PM - 08:00 PM,lw5,,,,
8-Jun,Thu,05:30 PM - 07:30 PM,northacres 2,,,,
8-Jun,Thu,05:30 PM - 07:30 PM,ross,,,,
8-Jun,Thu,05:00 PM - 07:00 PM,university,,,,
9-Jun,Fri,05:00 PM - 07:00 PM,dahl 3,,,,
9-Jun,Fri,06:15 PM - 09:00 PM,eagle staff 60,,,,
9-Jun,Fri,06:00 PM - 08:00 PM,lw4,,,,
9-Jun,Fri,05:45 PM - 09:45 PM,lw5,,,,
9-Jun,Fri,05:00 PM - 08:00 PM,lw6,,,,
9-Jun,Fri,05:30 PM - 07:30 PM,ross,,,,
10-Jun,Sat,04:00 PM - 07:00 PM,eagle staff 60,,,,
10-Jun,Sat,09:00 AM - 01:00 PM,lw4,,,,
10-Jun,Sat,01:00 PM - 03:00 PM,lw4,,,,
10-Jun,Sat,11:30 AM - 07:00 PM,lw5,,,,
10-Jun,Sat,09:00 AM - 01:00 PM,lw6,,,,
10-Jun,Sat,09:00 AM - 05:00 PM,ross,,,,
10-Jun,Sat,09:00 AM - 05:00 PM,university,,,,
11-Jun,Sun,04:00 PM - 06:00 PM,lw3,,,,
11-Jun,Sun,04:00 PM - 08:00 PM,lw6,,,,
12-Jun,Mon,06:00 PM - 08:00 PM,lw3,,,,
12-Jun,Mon,06:00 PM - 08:30 PM,lw4,,,,
12-Jun,Mon,06:00 PM - 09:00 PM,lw5,,,,
12-Jun,Mon,05:00 PM - 07:30 PM,lw6,,,,
12-Jun,Mon,05:30 PM - 07:30 PM,ross,,,,
13-Jun,Tue,06:00 PM - 07:30 PM,dahl 2,,,,
13-Jun,Tue,06:00 PM - 09:00 PM,lw5,,,,
13-Jun,Tue,07:00 PM - 09:00 PM,northacres 2,,,,
13-Jun,Tue,05:30 PM - 07:30 PM,ross,,,,
14-Jun,Wed,05:45 PM - 09:00 PM,lw4,,,,
14-Jun,Wed,05:00 PM - 09:00 PM,lw6,,,,
14-Jun,Wed,06:00 PM - 08:00 PM,magnuson 10,,,,
14-Jun,Wed,05:00 PM - 07:30 PM,ross,,,,
15-Jun,Thu,06:00 PM - 08:00 PM,lw6,,,,
15-Jun,Thu,05:30 PM - 07:30 PM,ross,,,,
16-Jun,Fri,06:15 PM - 08:45 PM,eagle staff 60,,,,
16-Jun,Fri,05:45 PM - 08:00 PM,lw3,,,,
16-Jun,Fri,05:45 PM - 09:00 PM,lw4,,,,
16-Jun,Fri,05:45 PM - 08:45 PM,lw5,,,,
16-Jun,Fri,05:00 PM - 06:30 PM,lw6,,,,
16-Jun,Fri,05:30 PM - 07:30 PM,ross,,,,
17-Jun,Sat,04:00 PM - 07:00 PM,eagle staff 60,,,,
17-Jun,Sat,09:00 AM - 04:00 PM,lw3,,,,
17-Jun,Sat,09:00 AM - 04:00 PM,lw4,,,,
17-Jun,Sat,09:00 AM - 04:00 PM,lw6,,,,
17-Jun,Sat,10:00 AM - 04:00 PM,ross,,,,
18-Jun,Sun,09:00 AM - 04:00 PM,lw5,,,,
18-Jun,Sun,11:00 AM - 05:00 PM,ross,,,,
19-Jun,Mon,05:00 PM - 09:00 PM,lw3,,,,
19-Jun,Mon,05:00 PM - 06:00 PM,lw5,,,,
19-Jun,Mon,06:00 PM - 09:00 PM,lw5,,,,
19-Jun,Mon,05:00 PM - 07:00 PM,lw6,,,,
19-Jun,Mon,05:30 PM - 07:30 PM,ross,,,,
20-Jun,Tue,06:00 PM - 08:00 PM,bitter lake 1,,,,
