Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Attend/Qty
"Mar 1, 2024",Friday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 4, 2024",Monday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 5, 2024",Tuesday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 6, 2024",Wednesday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 7, 2024",Thursday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 8, 2024",Friday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 9, 2024",Saturday,,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 11, 2024",Monday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 12, 2024",Tuesday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 13, 2024",Wednesday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 14, 2024",Thursday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 15, 2024",Friday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 16, 2024",Saturday,,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 01,R153184,1
"Mar 18, 2024",Monday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 19, 2024",Tuesday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 20, 2024",Wednesday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 21, 2024",Thursday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 22, 2024",Friday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 23, 2024",Saturday,,09:00 AM - 03:15 PM,Lower Woodland Playfield Ballfield 01,R153184,1
"Mar 25, 2024",Monday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 26, 2024",Tuesday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
