Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Attend/Qty
"May 31, 2023",Wednesday,,05:45 PM - 07:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 1, 2023",Thursday,,06:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 2, 2023",Friday,,05:45 PM - 07:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 4, 2023",Sunday,,12:00 PM - 05:00 PM,Whitman Middle School Baseball,R119854,1
"Jun 5, 2023",Monday,,06:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 6, 2023",Tuesday,,06:00 PM - 08:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 7, 2023",Wednesday,,05:45 PM - 07:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 8, 2023",Thursday,,06:45 PM - 08:45 PM,Ingraham HS Ballfield 01 (BB),R119854,1
"Jun 8, 2023",Thursday,,05:45 PM - 08:45 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 9, 2023",Friday,,07:00 PM - 09:00 PM,Eagle Staff Middle School Baseball Field,R119854,1
"Jun 10, 2023",Saturday,,09:00 AM - 02:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 12, 2023",Monday,,06:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 13, 2023",Tuesday,,06:00 PM - 08:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 13, 2023",Tuesday,,05:00 PM - 09:00 PM,View Ridge Playfield Ballfield 01,R119854,1
"Jun 15, 2023",Thursday,,08:00 PM - 10:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 16, 2023",Friday,,05:45 PM - 08:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 19, 2023",Monday,,05:45 PM - 08:45 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 20, 2023",Tuesday,,06:00 PM - 08:00 PM,Loyal Heights Playfield Ballfield 01,R118494,1
"Jun 21, 2023",Wednesday,,05:45 PM - 08:45 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 22, 2023",Thursday,,05:00 PM - 07:30 PM,View Ridge Playfield Ballfield 01,R119854,1
"Jun 29, 2023",Thursday,,05:45 PM - 08:45 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 30, 2023",Friday,,05:45 PM - 08:45 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 4, 2023",Tuesday,,05:00 PM - 08:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 5, 2023",Wednesday,,05:00 PM - 07:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 11, 2023",Tuesday,,05:00 PM - 06:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 12, 2023",Wednesday,,05:00 PM - 06:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 17, 2023",Monday,,05:00 PM - 08:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 18, 2023",Tuesday,,05:00 PM - 06:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 19, 2023",Wednesday,,05:00 PM - 06:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 25, 2023",Tuesday,,05:00 PM - 06:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 26, 2023",Wednesday,,05:00 PM - 06:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 27, 2023",Thursday,,05:00 PM - 06:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jul 31, 2023",Monday,,05:00 PM - 06:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Aug 1, 2023",Tuesday,,05:00 PM - 07:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Aug 2, 2023",Wednesday,,05:00 PM - 06:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Aug 3, 2023",Thursday,,05:00 PM - 07:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
