Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Attend/Qty
"Mar 1, 2024",Friday,,05:45 PM - 08:00 PM,Lower Woodland Playfield Ballfield 03,R156289,1
"Mar 1, 2024",Friday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 2, 2024",Saturday,,09:00 AM - 06:00 PM,Lower Woodland Playfield Ballfield 04,R156289,1
"Mar 2, 2024",Saturday,,09:00 AM - 06:00 PM,Lower Woodland Playfield Ballfield 03,R156289,1
"Mar 2, 2024",Saturday,,09:00 AM - 06:00 PM,Lower Woodland Playfield Ballfield 05,R156289,1
"Mar 2, 2024",Saturday,,09:00 AM - 04:00 PM,Lower Woodland Playfield Ballfield 06,R156289,1
"Mar 3, 2024",Sunday,,04:00 PM - 06:00 PM,Lower Woodland Playfield Ballfield 05,R156289,1
"Mar 4, 2024",Monday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 05,R156289,1
"Mar 4, 2024",Monday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 06,R156289,1
"Mar 4, 2024",Monday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 03,R156289,1
"Mar 4, 2024",Monday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 04,R156289,1
"Mar 4, 2024",Monday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 5, 2024",Tuesday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 04,R156289,1
"Mar 5, 2024",Tuesday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 03,R156289,1
"Mar 5, 2024",Tuesday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 06,R156289,1
"Mar 5, 2024",Tuesday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 05,R156289,1
"Mar 5, 2024",Tuesday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 6, 2024",Wednesday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 04,R156289,1
"Mar 6, 2024",Wednesday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 05,R156289,1
"Mar 6, 2024",Wednesday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 06,R156289,1
"Mar 6, 2024",Wednesday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 03,R156289,1
"Mar 6, 2024",Wednesday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 7, 2024",Thursday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 04,R156289,1
"Mar 7, 2024",Thursday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 03,R156289,1
"Mar 7, 2024",Thursday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 06,R156289,1
"Mar 7, 2024",Thursday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 05,R156289,1
"Mar 7, 2024",Thursday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 8, 2024",Friday,,05:45 PM - 08:00 PM,Lower Woodland Playfield Ballfield 03,R156289,1
"Mar 8, 2024",Friday,,07:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 9, 2024",Saturday,,09:00 AM - 05:00 PM,Lower Woodland Playfield Ballfield 01,R153183,1
"Mar 9, 2024",Saturday,,09:00 AM - 06:00 PM,Lower Woodland Playfield Ballfield 04,R156289,1
"Mar 9, 2024",Saturday,,09:00 AM - 05:00 PM,Ross Playfield Lower Ballfield,R156289,1
"Mar 9, 2024",Saturday,,09:00 AM - 05:00 PM,University Playfield Ballfield 01,R156289,1
"Mar 9, 2024",Saturday,,09:00 AM - 06:00 PM,Lower Woodland Playfield Ballfield 03,R156289,1
"Mar 9, 2024",Saturday,,09:00 AM - 06:00 PM,Lower Woodland Playfield Ballfield 05,R156289,1
"Mar 9, 2024",Saturday,,09:00 AM - 06:00 PM,Lower Woodland Playfield Ballfield 06,R156289,1
"Mar 10, 2024",Sunday,,02:00 PM - 04:30 PM,Lower Woodland Playfield Ballfield 03,R156289,1
"Mar 11, 2024",Monday,,05:00 PM - 07:00 PM,University Playfield Ballfield 01,R156289,1
"Mar 11, 2024",Monday,,05:00 PM - 07:00 PM,Ross Playfield Lower Ballfield,R156289,1
"Mar 11, 2024",Monday,,05:00 PM - 07:00 PM,B F Day Playfield Ballfield,R156289,1
"Mar 11, 2024",Monday,,05:45 PM - 09:00 PM,Lower Woodland Playfield Ballfield 04,R156289,1
