Date,Day,Start - End Time,Facility/Equipment/Instructor,Permit#,Attend/Qty
"May 31, 2026",Sunday,03:00 PM - 08:15 PM,Lower Woodland Playfield Ballfield 05,R118492,1
"May 31, 2026",Sunday,05:00 PM - 07:30 PM,University Playfield Ballfield 01,R118494,1
"May 31, 2026",Sunday,05:45 PM - 08:00 PM,Lower Woodland Playfield Ballfield 03,R118492,1
"May 31, 2026",Sunday,05:45 PM - 08:15 PM,Lower Woodland Playfield Ballfield 04,R118492,1
"May 31, 2026",Sunday,05:45 PM - 07:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"May 31, 2026",Sunday,06:00 PM - 08:00 PM,Ross Playfield Lower Ballfield,R118494,1
"Jun 1, 2026",Monday,05:00 PM - 07:30 PM,Ross Playfield Lower Ballfield,R118494,1
"Jun 1, 2026",Monday,05:00 PM - 07:00 PM,University Playfield Ballfield 01,R118494,1
"Jun 1, 2026",Monday,05:45 PM - 08:15 PM,Lower Woodland Playfield Ballfield 04,R118492,1
"Jun 1, 2026",Monday,06:00 PM - 08:30 PM,Lower Woodland Playfield Ballfield 05,R118492,1
"Jun 1, 2026",Monday,06:00 PM - 09:00 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 2, 2026",Tuesday,05:00 PM - 07:00 PM,Lower Woodland Playfield Ballfield 06,R118494,1
"Jun 2, 2026",Tuesday,05:00 PM - 07:30 PM,Ross Playfield Lower Ballfield,R118494,1
"Jun 2, 2026",Tuesday,05:00 PM - 07:30 PM,Bitter Lake Playfield Ballfield 01,R118494,1
"Jun 2, 2026",Tuesday,05:45 PM - 08:15 PM,Lower Woodland Playfield Ballfield 05,R118492,1
"Jun 2, 2026",Tuesday,05:45 PM - 08:15 PM,Lower Woodland Playfield Ballfield 04,R118492,1
"Jun 2, 2026",Tuesday,05:45 PM - 07:00 PM,Lower Woodland Playfield Ballfield 03,R118494,1
"Jun 2, 2026",Tuesday,05:45 PM - 07:30 PM,Lower Woodland Playfield Ballfield 01,R119854,1
"Jun 3, 2026",Wednesday,09:00 AM - 03:00 PM,Lower Woodland Playfield Ballfield 04,R118492,1
"Jun 3, 2026",Wednesday,09:00 AM - 03:00 PM,Lower Woodland Playfield Ballfield 06,R118492,1
"Jun 3, 2026",Wednesday,09:00 AM - 12:00 PM,University Playfield Ballfield 01,R118494,1
"Jun 3, 2026",Wednesday,09:00 AM - 03:00 PM,Lower Woodland Playfield Ballfield 03,R118492,1
"Jun 3, 2026",Wednesday,09:00 AM - 01:30 PM,Dahl Playfield Ballfield 03 (NE),R118494,1
