Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
7/12/2022,18:00,7/12/2022,20:30,Game,,View Ridge 1,,,,Game,,summer-bb-juniors,,1,,,NE/QA,,,,,,,,,,
7/13/2022,18:00,7/13/2022,20:00,Game,,Soundview 1,,,,Game,,summer-bb-juniors,,,,,BAL1,,,,,,,,,,
7/18/2022,17:30,7/18/2022,20:00,Game,,Lower Woodland 1,,,,Game,,summer-bb-juniors,,1,,,NW/MAG,,,,,,,,,,
7/21/2022,18:00,7/21/2022,20:30,Game,,Dahl 1,,,,Game,,summer-bb-juniors,,1,,,RUG,,,,,,,,,,
7/25/2022,18:00,7/25/2022,20:30,Game,,Magnuson 8,,,,Game,,summer-bb-juniors,,,,,BAL2,,,,,,,,,,
7/28/2022,18:00,7/28/2022,20:00,Game,,Meadowbrokk 1,,,,Game,,summer-bb-juniors,,,,,NE/QA,,,,,,,,,,
8/2/2022,17:30,8/2/2022,19:30,Game,,Lower Woodland 1,,,,Game,,summer-bb-juniors,,1,,,BAL1,,,,,,,,,,
8/4/2022,18:00,8/4/2022,20:00,Game,,Whitman Middle School,,,,Game,,summer-bb-juniors,,,,,NW/MAG,,,,,,,,,,
8/9/2022,18:00,8/9/2022,20:30,Game,,Whitman Middle School,,,,Game,,summer-bb-juniors,,,,,RUG,,,,,,,,,,
8/10/2022,18:00,8/10/2022,20:30,Game,,Whitman Middle School,,,,Game,,summer-bb-juniors,,1,,,BAL2,,,,,,,,,,
