Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
7/11/2022,17:00,7/11/2022,19:00,Softball sandlot - AAA,,Lower Woodland 4,,,,,,summer-sb-aaa,,,,,,,,,,,,,,,
7/11/2022,17:00,7/11/2022,19:15,Softball sandlot - Majors,,Lower Woodland 5,,,,,,summer-sb-majors,,,,,,,,,,,,,,,
7/13/2022,17:45,7/13/2022,20:00,Softball sandlot - AAA,,Lower Ross,,,,,,summer-sb-aaa,,,,,,,,,,,,,,,
7/13/2022,17:15,7/13/2022,19:30,Softball sandlot - Majors,,Lower Woodland 4,,,,,,summer-sb-majors,,,,,,,,,,,,,,,
7/18/2022,16:30,7/18/2022,18:30,Softball sandlot - AAA,,Lower Woodland 4,,,,,,summer-sb-aaa,,,,,,,,,,,,,,,
7/18/2022,18:30,7/18/2022,20:45,Softball sandlot - Majors,,Lower Woodland 4,,,,,,summer-sb-majors,,,,,,,,,,,,,,,
7/20/2022,17:45,7/20/2022,20:00,Softball sandlot - AAA,,Lower Ross,,,,,,summer-sb-aaa,,,,,,,,,,,,,,,
7/20/2022,16:30,7/20/2022,18:30,Softball sandlot - Majors,,Lower Woodland 3,,,,,,summer-sb-majors,,,,,,,,,,,,,,,
7/25/2022,16:30,7/25/2022,18:30,Softball sandlot - AAA,,Lower Woodland 4,,,,,,summer-sb-aaa,,,,,,,,,,,,,,,
7/25/2022,18:30,7/25/2022,20:45,Softball sandlot - Majors,,Lower Woodland 4,,,,,,summer-sb-majors,,,,,,,,,,,,,,,
7/27/2022,16:00,7/27/2022,18:00,Softball sandlot - AAA,,Lower Woodland 4,,,,,,summer-sb-aaa,,,,,,,,,,,,,,,
7/27/2022,16:15,7/27/2022,18:30,Softball sandlot - Majors,,Lower Woodland 3,,,,,,summer-sb-majors,,,,,,,,,,,,,,,
8/1/2022,16:00,8/1/2022,18:00,Softball sandlot - AAA,,Lower Woodland 4,,,,,,summer-sb-aaa,,,,,,,,,,,,,,,
8/1/2022,17:45,8/1/2022,20:00,Softball sandlot - Majors,,Lower Woodland 3,,,,,,summer-sb-majors,,,,,,,,,,,,,,,
8/3/2022,16:00,8/3/2022,18:00,Softball sandlot - AAA,,Lower Woodland 4,,,,,,summer-sb-aaa,,,,,,,,,,,,,,,
8/3/2022,17:30,8/3/2022,19:45,Softball sandlot - Majors,,Lower Woodland 3,,,,,,summer-sb-majors,,,,,,,,,,,,,,,
